City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cherskiy,100,RU,1585508969,91,68.75,161.3,24.84,18.95
Butaritari,100,KI,1585508782,67,3.07,172.79,80.69,5.1
Rikitea,59,PF,1585508970,80,-23.12,-134.97,79.21,11.72
Cayenne,75,GF,1585508970,83,4.93,-52.33,82.4,12.75
Yellowknife,75,CA,1585508731,53,62.46,-114.35,-5.01,9.17
Waddān,77,LY,1585508970,26,29.16,16.14,73.0,13.31
Soyo,33,AO,1585508970,86,-6.13,12.37,80.98,8.59
Fort Nelson,90,CA,1585508970,71,58.81,-122.7,5.0,10.29
Berlevåg,75,NO,1585508970,85,70.86,29.09,17.6,27.51
Saint-Philippe,40,RE,1585508970,83,-21.36,55.77,77.0,4.7
Dikson,98,RU,1585508874,95,73.51,80.55,4.39,8.12
Hithadhoo,96,MV,1585508971,63,-0.6,73.08,84.6,7.27
Busselton,44,AU,1585508971,84,-33.65,115.33,59.0,3.22
Touros,75,BR,1585508971,83,-5.2,-35.46,82.4,6.93
Albany,90,US,1585508971,76,42.6,-73.97,50.0,14.99
Tubinskiy,71,RU,1585508971,69,52.89,58.22,35.6,13.42
Qaanaaq,100,GL,1585508971,91,77.48,-69.36,6.55,7.96
Punta Arenas,75,CL,1585508853,54,-53.15,-70.92,53.6,29.97
Cidreira,35,BR,1585508862,65,-30.18,-50.21,80.26,10.29
Ponoka,90,CA,1585508971,100,52.68,-113.58,30.0,3.36
Salta,75,AR,1585508971,61,-24.79,-65.41,77.0,4.7
Nānākuli,75,US,1585508972,100,21.39,-158.15,77.0,12.26
Vaini,75,TO,1585508742,88,-21.2,-175.2,78.8,3.36
Norman Wells,20,CA,1585508972,63,65.28,-126.83,-11.2,16.11
Barrow,1,US,1585508972,75,71.29,-156.79,-18.4,11.41
Am Timan,29,TD,1585508973,10,11.03,20.28,91.09,5.17
Pacific Grove,75,US,1585508973,67,36.62,-121.92,59.0,6.93
Båtsfjord,75,NO,1585508973,85,70.63,29.72,17.6,27.51
Hermanus,2,ZA,1585508757,83,-34.42,19.23,61.0,11.12
Nome,1,US,1585508764,45,64.5,-165.41,1.4,1.61
Mataura,20,NZ,1585508973,91,-46.19,168.86,46.99,3.0
Brownwood,75,US,1585508973,39,31.71,-98.99,69.8,7.02
Elliot,66,ZA,1585508973,60,-31.33,27.85,55.56,5.14
Severo-Kuril'sk,80,RU,1585508973,91,50.68,156.12,27.3,16.67
Sabang,77,ID,1585508973,73,5.89,95.32,83.08,4.29
Prince Rupert,90,CA,1585508973,80,54.32,-130.32,41.0,11.41
Homer,1,US,1585508974,32,59.64,-151.55,23.0,10.29
Avarua,40,CK,1585508719,83,-21.21,-159.78,80.6,9.17
Ilulissat,100,GL,1585508974,86,69.22,-51.1,33.8,6.93
Bathsheba,40,BB,1585508974,55,13.22,-59.52,86.0,24.16
Cape Town,0,ZA,1585508937,67,-33.93,18.42,63.0,18.34
Maniitsoq,100,GL,1585508974,96,65.42,-52.9,32.22,28.27
San Cristobal,40,VE,1585508974,52,7.77,-72.22,87.8,11.41
Ushuaia,75,AR,1585508850,57,-54.8,-68.3,51.8,6.93
Avera,90,US,1585508975,69,33.19,-82.53,86.0,13.94
Mlonggo,100,ID,1585508975,77,-6.53,110.7,81.68,2.77
Leer,0,SS,1585508975,11,8.3,30.14,89.76,4.45
Gornopravdinsk,100,RU,1585508975,96,60.05,69.9,36.59,10.13
São Félix do Xingu,29,BR,1585508975,55,-6.64,-51.99,89.06,7.56
Kapaa,75,US,1585508975,88,22.08,-159.32,73.99,19.46
Payakumbuh,92,ID,1585508975,80,-0.22,100.63,70.68,3.06
Soloneshnoye,4,RU,1585508975,87,51.65,84.32,20.77,4.36
Esperance,0,AU,1585508975,93,-33.87,121.9,51.8,5.82
Chino Valley,1,US,1585508975,27,34.76,-112.45,59.0,6.93
Zeya,90,RU,1585508976,93,53.75,127.27,18.27,1.63
Ngunguru,16,NZ,1585508976,96,-35.62,174.5,52.0,8.01
La Rioja,40,ES,1585508976,66,42.25,-2.5,50.0,6.93
Hobart,14,AU,1585508709,59,-42.88,147.33,60.8,8.05
Lagoa,73,PT,1585508976,77,39.05,-27.98,58.15,22.95
Bignona,26,SN,1585508976,41,12.81,-16.23,93.2,9.17
Guerrero Negro,97,MX,1585508976,58,27.98,-114.06,63.55,18.52
Pozo Colorado,13,PY,1585508977,39,-23.49,-58.8,98.13,1.45
Sokolo,97,ML,1585508977,15,14.73,-6.12,92.48,2.66
Mount Gambier,75,AU,1585508977,100,-37.83,140.77,53.6,9.17
Marsh Harbour,28,BS,1585508715,73,26.54,-77.06,76.28,11.32
Tuatapere,7,NZ,1585508977,91,-46.13,167.68,46.99,3.0
Port Alfred,10,ZA,1585508977,95,-33.59,26.89,64.99,1.01
Tuktoyaktuk,90,CA,1585508977,74,69.45,-133.04,-22.0,6.93
Ebersberg,40,DE,1585508977,52,48.08,11.97,43.0,11.41
Luján,40,AR,1585508977,62,-34.57,-59.1,89.01,9.17
Souillac,75,MU,1585508877,94,-20.52,57.52,80.6,9.17
Bredasdorp,6,ZA,1585508845,67,-34.53,20.04,59.0,4.7
Fairbanks,1,US,1585508901,46,64.84,-147.72,9.0,6.93
Port Blair,49,IN,1585508978,68,11.67,92.75,80.98,3.56
Niamey,99,NE,1585508978,5,13.51,2.11,102.2,6.93
Gamba,55,GA,1585508978,86,-2.65,10.0,81.63,8.03
Majene,100,ID,1585508978,83,-3.54,118.97,78.91,3.31
Sitka,90,US,1585508978,50,57.05,-135.33,33.8,11.41
Talcahuano,1,CL,1585508978,52,-36.72,-73.12,68.0,13.87
Atuona,5,PF,1585508978,78,-9.8,-139.03,82.15,18.23
East London,10,ZA,1585508979,79,-33.02,27.91,70.39,8.75
Saldanha,0,ZA,1585508979,67,-33.01,17.94,60.8,12.75
Pindiga,24,NG,1585508963,12,9.98,10.93,91.22,4.27
Airai,100,TL,1585508979,56,-8.93,125.41,60.64,2.04
Columbia,40,US,1585508703,54,34.0,-81.03,86.0,11.41
Eyl,10,SO,1585508980,77,7.98,49.82,81.25,11.27
Torbay,90,CA,1585508980,100,47.67,-52.73,30.99,24.16
Chui,30,UY,1585508980,61,-33.7,-53.46,80.4,4.12
Nizhniy Kuranakh,99,RU,1585508981,90,58.84,125.49,17.19,6.49
Mahébourg,75,MU,1585508981,94,-20.41,57.7,80.6,9.17
Asadābād,58,IR,1585508825,43,34.78,48.12,45.28,7.25
Anshun,97,CN,1585508982,51,26.25,105.93,45.19,6.22
Santa Cruz de la Sierra,75,BO,1585508715,59,-17.8,-63.17,91.4,9.17
Bluff,39,NZ,1585508982,91,-46.6,168.33,46.99,3.0
Yerbogachën,99,RU,1585508982,93,61.28,108.01,20.53,11.18
Broken Hill,90,AU,1585508982,82,-31.95,141.43,62.6,12.75
Tuyen Quang,93,VN,1585508983,89,21.82,105.22,75.27,2.55
Nanortalik,100,GL,1585508983,92,60.14,-45.24,37.36,22.19
Rio Casca,98,BR,1585508983,60,-20.23,-42.65,82.15,1.14
Iquique,80,CL,1585508983,56,-20.22,-70.14,73.4,20.8
Dilla,86,ET,1585508984,44,6.41,38.31,69.24,5.73
Thompson,75,CA,1585508984,50,55.74,-97.86,6.8,12.75
Beringovskiy,65,RU,1585508984,92,63.05,179.32,20.59,17.92
Agadez,76,NE,1585508984,11,19.75,10.25,89.46,7.81
Nuquí,90,CO,1585508984,100,5.71,-77.27,75.2,5.82
George Town,40,MY,1585508984,89,5.41,100.34,84.2,4.81
Tiksi,81,RU,1585508984,90,71.69,128.87,-3.39,3.2
Oranjemund,0,NA,1585508985,75,-28.55,16.43,61.34,17.58
Puerto Ayora,20,EC,1585508985,70,-0.74,-90.35,84.2,3.36
Komsomolets,48,KZ,1585508985,92,53.75,62.07,30.99,11.05
New Norfolk,13,AU,1585508985,59,-42.78,147.06,60.8,8.05
Champerico,75,GT,1585508985,62,14.3,-91.92,89.6,11.41
Clarence Town,40,AU,1585508985,93,-32.58,151.78,66.99,3.29
Anadyr,20,RU,1585508985,85,64.75,177.48,15.8,24.61
Port Elizabeth,40,ZA,1585508985,88,-33.92,25.57,62.6,10.29
San Vicente,19,AR,1585508985,57,-26.62,-54.13,80.65,0.81
Klaksvík,30,FO,1585508985,75,62.23,-6.59,44.6,9.17
Bethel,90,US,1585508859,93,41.37,-73.41,48.99,6.93
Vezirköprü,75,TR,1585508985,87,41.14,35.45,44.6,9.17
Kapoeta,90,SS,1585508985,64,4.77,33.59,74.5,4.94
Gizo Government Station,97,SB,1585508985,72,-8.1,156.84,82.67,3.06
Narsaq,100,GL,1585508985,86,60.92,-46.05,41.0,10.89
Naliya,0,IN,1585508985,74,23.27,68.83,74.34,12.33
Isiro,85,CD,1585508985,80,2.77,27.62,68.77,3.44
Ugoofaaru,36,MV,1585508985,63,5.67,73.0,84.24,3.6
Hofn,11,IS,1585508986,63,64.25,-15.21,44.85,8.43
Fes,75,MA,1585508986,59,34.04,-5.0,62.6,9.17
Provideniya,0,RU,1585508811,68,64.38,-173.3,3.06,3.38
Peace River,90,CA,1585508986,71,56.25,-117.29,8.6,11.41
Leshukonskoye,64,RU,1585508986,94,64.9,45.76,19.15,7.25
Hasaki,75,JP,1585508931,86,35.73,140.83,39.2,10.29
Río Gallegos,20,AR,1585508986,48,-51.62,-69.22,59.0,16.11
Lebu,0,CL,1585508986,58,-37.62,-73.65,61.45,18.34
Saint Paul Harbor,90,US,1585508909,58,57.79,-152.41,30.2,11.41
Clyde River,1,CA,1585508987,84,70.47,-68.59,-0.4,8.05
Hong Kong,40,HK,1585508744,88,22.29,114.16,73.0,20.8
Karatuzskoye,87,RU,1585508987,92,53.61,92.87,26.55,7.45
Tasiilaq,100,GL,1585508987,93,65.61,-37.64,37.4,12.75
Porto-Novo,40,BJ,1585508988,83,6.5,2.6,82.4,12.75
Saint-Pierre,44,RE,1585508988,83,-21.34,55.48,77.0,4.7
